ticker,company_name,sector,exchange
PHM,"PulteGroup, Inc.",Consumer Cyclical,NYQ
PWR,"Quanta Services, Inc.",Industrials,NYQ
QCOM,QUALCOMM Incorporated,Technology,NMS
DGX,Quest Diagnostics Incorporated,Healthcare,NYQ
RL,Ralph Lauren Corporation,Consumer Cyclical,NYQ
RJF,"Raymond James Financial, Inc.",Financial Services,NYQ
RTX,RTX Corporation,Industrials,NYQ
O,Realty Income Corporation,Real Estate,NYQ
REG,Regency Centers Corporation,Real Estate,NMS
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,NMS
RF,Regions Financial Corporation,Financial Services,NYQ
RSG,"Republic Services, Inc.",Industrials,NYQ
RMD,ResMed Inc.,Healthcare,NYQ
RVTY,"Revvity, Inc.",Healthcare,NYQ
ROK,"Rockwell Automation, Inc.",Industrials,NYQ
ROL,"Rollins, Inc.",Consumer Cyclical,NYQ
ROP,"Roper Technologies, Inc.",Technology,NMS
ROST,"Ross Stores, Inc.",Consumer Cyclical,NMS
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,NYQ
SPGI,S&P Global Inc.,Financial Services,NYQ
CRM,"Salesforce, Inc.",Technology,NYQ
SBAC,SBA Communications Corporation,Real Estate,NMS
SLB,Schlumberger Limited,Energy,NYQ
STX,Seagate Technology Holdings plc,Technology,NMS
SRE,Sempra,Utilities,NYQ
NOW,"ServiceNow, Inc.",Technology,NYQ
SHW,The Sherwin-Williams Company,Basic Materials,NYQ
SPG,"Simon Property Group, Inc.",Real Estate,NYQ
SWKS,"Skyworks Solutions, Inc.",Technology,NMS
SJM,The J. M. Smucker Company,Consumer Defensive,NYQ
SW,Smurfit Westrock Plc,Consumer Cyclical,NYQ
SNA,Snap-on Incorporated,Industrials,NYQ
SOLV,Solventum Corporation,Healthcare,NYQ
SO,The Southern Company,Utilities,NYQ
LUV,Southwest Airlines Co.,Industrials,NYQ
SWK,"Stanley Black & Decker, Inc.",Industrials,NYQ
SBUX,Starbucks Corporation,Consumer Cyclical,NMS
STT,State Street Corporation,Financial Services,NYQ
STLD,"Steel Dynamics, Inc.",Basic Materials,NMS
STE,STERIS plc,Healthcare,NYQ
SYK,Stryker Corporation,Healthcare,NYQ
SMCI,"Super Micro Computer, Inc.",Technology,NMS
SYF,Synchrony Financial,Financial Services,NYQ
SNPS,"Synopsys, Inc.",Technology,NMS
SYY,Sysco Corporation,Consumer Defensive,NYQ
TMUS,"T-Mobile US, Inc.",Communication Services,NMS
TROW,"T. Rowe Price Group, Inc.",Financial Services,NMS
TTWO,"Take-Two Interactive Software, Inc.",Communication Services,NMS
TPR,"Tapestry, Inc.",Consumer Cyclical,NYQ
TRGP,Targa Resources Corp.,Energy,NYQ
TGT,Target Corporation,Consumer Defensive,NYQ
TEL,TE Connectivity plc,Technology,NYQ
TDY,Teledyne Technologies Incorporated,Technology,NYQ
TER,"Teradyne, Inc.",Technology,NMS
TSLA,"Tesla, Inc.",Consumer Cyclical,NMS
TXN,Texas Instruments Incorporated,Technology,NMS
TPL,Texas Pacific Land Corporation,Energy,NYQ
TXT,Textron Inc.,Industrials,NYQ
TMO,Thermo Fisher Scientific Inc.,Healthcare,NYQ
TJX,"The TJX Companies, Inc.",Consumer Cyclical,NYQ
TKO,"TKO Group Holdings, Inc.",Communication Services,NYQ
TSCO,Tractor Supply Company,Consumer Cyclical,NMS
TT,Trane Technologies plc,Industrials,NYQ
TDG,TransDigm Group Incorporated,Industrials,NYQ
TRV,"The Travelers Companies, Inc.",Financial Services,NYQ
TRMB,Trimble Inc.,Technology,NMS
TFC,Truist Financial Corporation,Financial Services,NYQ
TYL,"Tyler Technologies, Inc.",Technology,NYQ
TSN,"Tyson Foods, Inc.",Consumer Defensive,NYQ
USB,U.S. Bancorp,Financial Services,NYQ
UBER,"Uber Technologies, Inc.",Technology,NYQ
UDR,"UDR, Inc.",Real Estate,NYQ
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,NMS
UNP,Union Pacific Corporation,Industrials,NYQ
UAL,"United Airlines Holdings, Inc.",Industrials,NMS
UPS,"United Parcel Service, Inc.",Industrials,NYQ
URI,"United Rentals, Inc.",Industrials,NYQ
UNH,UnitedHealth Group Incorporated,Healthcare,NYQ
UHS,"Universal Health Services, Inc.",Healthcare,NYQ
VLO,Valero Energy Corporation,Energy,NYQ
VTR,"Ventas, Inc.",Real Estate,NYQ
VLTO,Veralto Corporation,Industrials,NYQ
VRSN,"VeriSign, Inc.",Technology,NMS
VRSK,"Verisk Analytics, Inc.",Industrials,NMS
VZ,Verizon Communications Inc.,Communication Services,NYQ
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,NMS
VTRS,Viatris Inc.,Healthcare,NMS
VICI,VICI Properties Inc.,Real Estate,NYQ
V,Visa Inc.,Financial Services,NYQ
VST,Vistra Corp.,Utilities,NYQ
VMC,Vulcan Materials Company,Basic Materials,NYQ
WRB,W. R. Berkley Corporation,Financial Services,NYQ
GWW,"W.W. Grainger, Inc.",Industrials,NYQ
WAB,Westinghouse Air Brake Technologies Corporation,Industrials,NYQ
WBA,"Walgreens Boots Alliance, Inc.",Healthcare,NMS
WMT,Walmart Inc.,Consumer Defensive,NYQ
DIS,The Walt Disney Company,Communication Services,NYQ
WBD,"Warner Bros. Discovery, Inc.",Communication Services,NMS
WM,"Waste Management, Inc.",Industrials,NYQ
WAT,Waters Corporation,Healthcare,NYQ
WEC,"WEC Energy Group, Inc.",Utilities,NYQ
WFC,Wells Fargo & Company,Financial Services,NYQ
WELL,Welltower Inc.,Real Estate,NYQ
WST,"West Pharmaceutical Services, Inc.",Healthcare,NYQ
WDC,Western Digital Corporation,Technology,NMS
WY,Weyerhaeuser Company,Real Estate,NYQ
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,NYQ
WMB,"The Williams Companies, Inc.",Energy,NYQ
WTW,Willis Towers Watson Public Limited Company,Financial Services,NMS
WDAY,"Workday, Inc.",Technology,NMS
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,NMS
XEL,Xcel Energy Inc.,Utilities,NMS
XYL,Xylem Inc.,Industrials,NYQ
YUM,"Yum! Brands, Inc.",Consumer Cyclical,NYQ
ZBRA,Zebra Technologies Corporation,Technology,NMS
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,NYQ
ZTS,Zoetis Inc.,Healthcare,NYQ
